Project Name,Address Wallet,Address,Investment,Profit,Transactions,,Win Rate,Total Invested,Total Returned,ROI %
HERO,https://solscan.io/account/ANNH8hrZ7fz7PRh491mHPbsJMdPW3UJT1LWGsbHDTMfg,ANNH8hrZ7fz7PRh491mHPbsJMdPW3UJT1LWGsbHDTMfg,"$4,418 ",$255.5K,1,,,,,
HERO,https://solscan.io/account/9Pj6FmtKKveoAU4ySkcbUHht6u8cwEUhzKWJFzJBasSt,9Pj6FmtKKveoAU4ySkcbUHht6u8cwEUhzKWJFzJBasSt,$17.9K,$122.3K,1,,,,,
HERO,https://solscan.io/account/FtQoqDRoUezF75RPyGXxmUbK4HvF7Yza7AmxjGqaVo3Z,FtQoqDRoUezF75RPyGXxmUbK4HvF7Yza7AmxjGqaVo3Z,$738 ,$103.9K,1,,,,,
HERO,https://solscan.io/account/DNCcqvtme6porP4QQXMp7xYZddHqK6x4PLWHHpGCdw1i,DNCcqvtme6porP4QQXMp7xYZddHqK6x4PLWHHpGCdw1i,"$8,109 ",$42.2K,1,,,,,
HERO,https://solscan.io/account/2JN3NLV9w7PyPGWqbhti5HEkBHktnzyink3zBcDpZcLE,2JN3NLV9w7PyPGWqbhti5HEkBHktnzyink3zBcDpZcLE,$145 ,$41.7K,1,,,,,
HERO,https://solscan.io/account/En6YHLWvCp8K8KDfqH43JpUQEPAfgqLJVV2GeTjiwUCm,En6YHLWvCp8K8KDfqH43JpUQEPAfgqLJVV2GeTjiwUCm,$738 ,$40.4K,1,,,,,
HERO,https://solscan.io/account/BeeCjUgb5emADnFifbPcoWuRvCnPf1bNfukbbFiHiZop,BeeCjUgb5emADnFifbPcoWuRvCnPf1bNfukbbFiHiZop,$14.6K,$35.5K,1,,,,,
HERO,https://solscan.io/account/9qLxeT62DFv1fx7aB3TPQEArqqPnKpS4gzG1Wq2Y4LYN,9qLxeT62DFv1fx7aB3TPQEArqqPnKpS4gzG1Wq2Y4LYN,$14.7K,$25.5K,1,,,,,
HERO,https://solscan.io/account/HoZoWggoMaFcHmKkUc2eRfU7D2Uq5sEDhz424USpkzbv,HoZoWggoMaFcHmKkUc2eRfU7D2Uq5sEDhz424USpkzbv,"$5,171 ",$25.4K,1,,,,,
HERO,https://solscan.io/account/Hvts7WUNA9k72kkVt2YP6z1R85U3C637XqfCNoaYSy3W,Hvts7WUNA9k72kkVt2YP6z1R85U3C637XqfCNoaYSy3W,$731 ,$17.6K,1,,,,,
