Project Name,Address Wallet,Address,Investment,Profit,Transactions,Win Rate,PnL,ROI,Initial Balance
HERO,https://solscan.io/account/ANNH8hrZ7fz7PRh491mHPbsJMdPW3UJT1LWGsbHDTMfg,ANNH8hrZ7fz7PRh491mHPbsJMdPW3UJT1LWGsbHDTMfg,$4K,$256K,1,,,,
HERO,https://solscan.io/account/9Pj6FmtKKveoAU4ySkcbUHht6u8cwEUhzKWJFzJBasSt,9Pj6FmtKKveoAU4ySkcbUHht6u8cwEUhzKWJFzJBasSt,$18K,$122K,1,,,,
HERO,https://solscan.io/account/FtQoqDRoUezF75RPyGXxmUbK4HvF7Yza7AmxjGqaVo3Z,FtQoqDRoUezF75RPyGXxmUbK4HvF7Yza7AmxjGqaVo3Z,$738,$104K,1,,,,
HERO,https://solscan.io/account/DNCcqvtme6porP4QQXMp7xYZddHqK6x4PLWHHpGCdw1i,DNCcqvtme6porP4QQXMp7xYZddHqK6x4PLWHHpGCdw1i,$8K,$42K,1,,,,
HERO,https://solscan.io/account/2JN3NLV9w7PyPGWqbhti5HEkBHktnzyink3zBcDpZcLE,2JN3NLV9w7PyPGWqbhti5HEkBHktnzyink3zBcDpZcLE,$145,$42K,1,,,,
HERO,https://solscan.io/account/En6YHLWvCp8K8KDfqH43JpUQEPAfgqLJVV2GeTjiwUCm,En6YHLWvCp8K8KDfqH43JpUQEPAfgqLJVV2GeTjiwUCm,$738,$40K,1,,,,
HERO,https://solscan.io/account/BeeCjUgb5emADnFifbPcoWuRvCnPf1bNfukbbFiHiZop,BeeCjUgb5emADnFifbPcoWuRvCnPf1bNfukbbFiHiZop,$15K,$36K,1,,,,
HERO,https://solscan.io/account/HoZoWggoMaFcHmKkUc2eRfU7D2Uq5sEDhz424USpkzbv,HoZoWggoMaFcHmKkUc2eRfU7D2Uq5sEDhz424USpkzbv,$5K,$25K,1,,,,
HERO,https://solscan.io/account/Hvts7WUNA9k72kkVt2YP6z1R85U3C637XqfCNoaYSy3W,Hvts7WUNA9k72kkVt2YP6z1R85U3C637XqfCNoaYSy3W,$731,$18K,1,,,,
HERO,https://solscan.io/account/3rEv4YKa1JxsupETm8C2H5CNyVc3YNMhzjgNWCDkQWv6,3rEv4YKa1JxsupETm8C2H5CNyVc3YNMhzjgNWCDkQWv6,$4K,$16K,1,,,,
HERO,https://solscan.io/account/EbR1YwQ93HSEEXZLTELqFHZnyiV4Kz4qaCLPQPrX54HT,EbR1YwQ93HSEEXZLTELqFHZnyiV4Kz4qaCLPQPrX54HT,$147,$14K,1,,,,
HERO,https://solscan.io/account/7KP1ELJtvRGciqnitwuLZZfaMkvy9rH2cniLNNxBt7rj,7KP1ELJtvRGciqnitwuLZZfaMkvy9rH2cniLNNxBt7rj,$4K,$14K,1,,,,
HERO,https://solscan.io/account/HMN8GusByZJii4uVhPQMpVxrDikBAqsaX8aA8xwZfpMU,HMN8GusByZJii4uVhPQMpVxrDikBAqsaX8aA8xwZfpMU,$73,$12K,1,,,,
HERO,https://solscan.io/account/65BULC6KjGaUfDX5rHcpGNxxfYKFxCHWfZRDxaAf5uCo,65BULC6KjGaUfDX5rHcpGNxxfYKFxCHWfZRDxaAf5uCo,$3K,$9K,1,,,,
HERO,https://solscan.io/account/HUcWN5L2dUQ6sRmeRRxet7JTKHXiHthKcojGc9A4xevF,HUcWN5L2dUQ6sRmeRRxet7JTKHXiHthKcojGc9A4xevF,$10,$8K,1,,,,
$BT,https://solscan.io/account/EecjSBV8XpYQbMvFDnjHgd71sjJZRJeXBzvrF4tzExcZ,EecjSBV8XpYQbMvFDnjHgd71sjJZRJeXBzvrF4tzExcZ,$14,$6K,1,,,,
$BT,https://solscan.io/account/Fq8CxaXJ3t9ojtSrX94NSPjzfhHXbsxtFT77fGmmtFNx,Fq8CxaXJ3t9ojtSrX94NSPjzfhHXbsxtFT77fGmmtFNx,$444,$2K,1,,,,
$BT,https://solscan.io/account/ErMuPurQJMnhezyRyLybm9ibJ1nB5A4KmMNfZKPoKK5G,ErMuPurQJMnhezyRyLybm9ibJ1nB5A4KmMNfZKPoKK5G,$594,$1K,1,,,,
$BT,https://solscan.io/account/HiKiNhvc11pZYAPuxBKHpTxy6QKq95qgkpmN52SeWG8k,HiKiNhvc11pZYAPuxBKHpTxy6QKq95qgkpmN52SeWG8k,$74,$1K,1,,,,
SC,https://solscan.io/account/33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea,$687,$48K,1,,,,
SC,https://solscan.io/account/HbcU6maHwD8aq8h3icbhkKBpZ2dxX44RmWLzEvKdBGYU,HbcU6maHwD8aq8h3icbhkKBpZ2dxX44RmWLzEvKdBGYU,$4K,$14K,1,,,,
