Token Name,Buy or Sell,Timestamp,SOL Balance,Token Balance,Description,Signature,USD Balance
Dog,Buy,Sat  13 Jul 2024 07:34:46 GMT,1.672462958,12377628.572571,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea swapped 12377628.572571 Dog for 1.672462958 SOL,5hBCs7A8AYFK35oBmeZKw1bKDFmgEtq9suxgsDVk6SAbAcLNsjsM7KoB3fdAqqffDTLf4sncUyGBre4X8BXQEykw,231.57259904459372
Dog,Sell,Sat  13 Jul 2024 07:05:08 GMT,3,6205135.603525,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea swapped 3 SOL for 6205135.603525 Dog,2LJBkxnV14xcfdhrHBbQTVTPkbeh9Q6uELHddrsPDm7hDuzAn68NX36kBgsJMXUiFWPYXUXfzTpnYR6sJ9dNZM9V,415.3860591116189
Dog,Sell,Sat  13 Jul 2024 07:01:59 GMT,3,6172492.969046,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea swapped 3 SOL for 6172492.969046 Dog,4xcK8DZfk2VAUVybgnps2eadpbSYnJdQqopAgCX1tXNBUAP4erggQ68Wj7BuQVN4zMPHRgdAzubFD7FS7cyhNDfy,415.3860591116189
lit,Buy,Fri  12 Jul 2024 15:44:31 GMT,1.219560262,9761306.235205,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea swapped 9761306.235205 lit for 1.219560262 SOL,56gEbRKVUWZH6D6PKJzKbaHuqZXHrhJ9eu1ncvpfTEQKuPY4rygTVzcZrUWtyBcWJ1rS5RAvRGjVq9hwLTJae7fV,168.86277702710447
lit,Sell,Fri  12 Jul 2024 15:34:24 GMT,3,9761306.235205,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea swapped 3 SOL for 9761306.235205 lit,5fwLvb9KSRCMasLcEX5ixwmN2uNFapZMz8ETSvAyyTPfmBVN3VjzJxKedJU6CQRbQhq3gjANXihbuy1ThVqY5eQF,415.3860591116189
ath,Buy,Thu  11 Jul 2024 11:02:44 GMT,0.404743172,5222730.465017,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea swapped 5222730.465017 ath for 0.404743172 SOL,48QHE57wx5nPEaU7oQX1o6vzqt5qS47s9m9vTMhJA3ZKqa3YTrocBzZstqhxrGS8W1apBvgn2h5UYTXNws3qgrFV,56.04155705647205
SC,Buy,Thu  11 Jul 2024 10:55:38 GMT,27.080701781,1461455.768298929,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea swapped 1461455.768298929 SC for 27.080701781 SOL,4cb74p7MyZTp4j9dKxsH6eTxGZWqw77cZ3cDVJt9uf8Vouyzkfpaj3sYfQJT48vjVDD9qGT1Z51FRynVLE1jCCFs,3749.64866359553
ath,Sell,Thu  11 Jul 2024 10:35:48 GMT,1,5222730.465017,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea swapped 1 SOL for 5222730.465017 ath,2wyngy29q6rNgriLWeoT2EjyCgV6g28e194insY693b4hLRNW7Q4aUBDqwSEyGxxwGsibYvKMkptRvi5TmykVbrQ,138.46201970387298
SC,Sell,Thu  11 Jul 2024 10:17:27 GMT,30,1461455.768298929,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea swapped 30 SOL for 1461455.768298929 SC,4WH1U1QG9a6gzVoH219A5od4SyHdCvuKDVD48DTWBdqhE3KN12jnK3jy5MnjV2KJoVdbKUmP4Sb3TmYqufQ42Nyk,4153.860591116189
POPHAM,Buy,Wed  10 Jul 2024 19:02:00 GMT,1.645173095,24673022.833169,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea swapped 24673022.833168998 POPHAM for 1.645173095 SOL,2f6Pq5VHdkxsjQDDXQ4HiENdPNEZxXjTnjs6gkG84gAMsrmR7GKqhHfqdMdt1wUdg88svtQTtkw9BbvveuQ9FDSV,231.26026064556245
POPHAM,Sell,Wed  10 Jul 2024 18:57:48 GMT,1,10089612.191327,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea swapped 1 SOL for 10089612.191327 POPHAM,pAKFgpmWEby5ZZA1hLmi3TDqM5nmW4Hjvrv2MdB6fq67BNDuiVZGwRVyBPzyemJNgQQ1NargRyb2sNFVP6nw4SD,140.83186970774
POPHAM,Sell,Wed  10 Jul 2024 18:41:28 GMT,1,4835503.693762,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea swapped 1 SOL for 4835503.693762 POPHAM,2eVqTkLpE9ujA3De6Pm9dPVrxEX8SspeAjKNRcvvLPsobMZG2bKaQ5kT4WvdzRHk7v2RxKMd1NfQ7pnprMTygyu,140.83875374820133
POPHAM,Sell,Wed  10 Jul 2024 18:39:40 GMT,3,9747906.94808,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea swapped 3 SOL for 9747906.94808 POPHAM,4fFaSGMJ4SWF1WXcBF2iZv4iiEQVu28fD144JfdN36UrakQHoL1BgfP1Y788w4VGNwg7Lo1qjCvZ3fVkNsjZJm9b,422.6052409726015
UPDOWN,Buy,Wed  10 Jul 2024 18:09:27 GMT,0.17601347,985814.489912767,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea swapped 985814.489912767 UPDOWN for 0.17601347 SOL,61K8PLmBNgXmWyQqXWwKpw42rJkAzBcB85h5fxfYzb9vKhm6fm8kzGLWEGPhqVyQxTHTCSZ47hPHDbmRSeJ5XJFo,24.823564386299182
UPDOWN,Buy,Wed  10 Jul 2024 18:09:11 GMT,0.215296338,985814.489912766,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea swapped 985814.489912766 UPDOWN for 0.215296338 SOL,29DyCk8JvX7kw1M1yp6Ki9PehudAVqzck7K3JNhqRqz13SBU31d3XRqKEMK8Tsq38uZJ4SqHy49FrcV5gyTEbD7V,30.36371312080508
